Recommended Package,Dream Outcome,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJlaBP,2025-11-05,Upstairs Café,"Cafe, Restaurant",1,150000,"First Floor, 12A, Jalan SS 12/1b, Ss 12, 47500 Subang Jaya, Selangor, Malaysia",47500 Subang Jaya,Selangor,47500.0,https://m.facebook.com/pages/Upstairs-Cafe/258851430870905,,,60356111950.0,,60356111950.0,4.3,1170.0,$$ (Moderate),OPERATIONAL,ChIJlaBPy2BMzDERyXoee53qKdg,3.0787856,101.5950626,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (1170 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJJV_v,2025-11-05,MATRADE Exhibition | Convention Centre - Hall ABC Lobby,Restaurant,1,120000,"Menara Matrade, Jalan Sultan Haji Ahmad Shah, Segambut, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://www.matrade.gov.my/,,,60362037032.0,,60362037032.0,4.2,1091.0,Unknown,OPERATIONAL,ChIJJV_v9WNIzDERO6TsJB4Dt1Y,3.1773289,101.6668651,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1091 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJDWIQ,2025-11-05,Sanuki Udon,Restaurant,1,75000,"1st floor, 25A, Jalan Bukit Desa 5, Taman Bukit Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://facebook.com/isetankl/posts/2516002545127879,,,60379803704.0,,60379803704.0,4.1,1051.0,$ (Budget),OPERATIONAL,ChIJDWIQkh9KzDERGkkargwydAA,3.1106643,101.6853507,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1051 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJCxHI,2025-11-05,Secret Recipe Mid Valley Megamall,"Restaurant, Cafe",1,150000,"G-48, Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.secretrecipe.com.my/,,,60328581374.0,,60328581374.0,4.1,1095.0,$$ (Moderate),OPERATIONAL,ChIJCxHIrI5JzDERdhtaveHE2fs,3.1172685,101.6779186,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1095 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJt0hC,2025-11-05,Bread History (Prangin Mall),"Bakery, Store",1,150000,"33-G-35, Jalan Dr Lim Chwee Leong, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.breadhistory.com.my/,,,6043713957.0,,6043713957.0,4.9,1851.0,$$ (Moderate),OPERATIONAL,ChIJt0hCIpTDSjAROpc0G2_vYTc,5.414683,100.331112,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.9/5 (1851 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJccgT,2025-11-05,dé Market,"Supermarket, Cafe, Liquor Store",2,160000,"1st Floor, Podium Block, Faber Tower, Jalan Desa Bahagia, Taman Desa, 58100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://www.demarket.my/,,,60379727606.0,,60379727606.0,4.2,2368.0,Unknown,OPERATIONAL,ChIJccgT9hdKzDERfFBqXFgpV_o,3.1022504,101.6848532,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (2368 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJP0rP,2025-11-05,Ra-Ft Café / Bistro Binjai 8 | Coffee Roasters,"Cafe, Bakery, Store",1,150000,"Unit G-1, Ground Floor, Binjai 8 Premium Soho, 2, Lrg Binjai, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450.0,http://www.ra-ft.com/,,,60321811091.0,,60321811091.0,4.5,1529.0,$$ (Moderate),OPERATIONAL,ChIJP0rPKNA3zDERPXdJrCl6Dr8,3.1588379,101.7175739,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1529 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJg1nr,2025-11-05,Tea Kadai HQ,Cafe,1,150000,"68, Lebuh Queen, George Town, 10200 George Town, Pulau Pinang, Malaysia",10200 George Town,,10200.0,https://www.instagram.com/teakadaipenang/,,,60124968938.0,,60124968938.0,4.4,1518.0,$$ (Moderate),OPERATIONAL,ChIJg1nr2ZHDSjARiGZDn_NgDno,5.416953100000001,100.3382577,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (1518 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJsybT,2025-11-05,Ome by Spacebar Coffee,"Cafe, Store",1,150000,"1, Lorong Toh Aka, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://t.me/spacebarcoffee,,,60196908259.0,,60196908259.0,4.6,1112.0,$$ (Moderate),OPERATIONAL,ChIJsybTXJLDSjARPhlORQG_INI,5.413431999999999,100.3368178,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (1112 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Quick Win - RM 2,997/mo",Save RM 15-25k/mo in 60 days,GOOGLE-ChIJzSpX,2025-11-05,Hello Sushi @ KL GATEWAY,"Meal Takeaway, Restaurant",1,120000,"LG1.K5(II), KL Gateway Mall, No, 2, Jalan Kerinchi, Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,https://www.foodpanda.my/restaurant/sboh/hello-sushi-kl-gateway,,,60182025140.0,,60182025140.0,5.0,1711.0,Unknown,OPERATIONAL,ChIJzSpX7XVJzDER-wsYC_ff7RM,3.1141124,101.6632718,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 5/5 (1711 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
