Recommended Package,Dream Outcome,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJBZb2,2025-11-05,Hotel Olympic Malaysia,"Cafe, Lodging, Restaurant",5,240000,"Hotel Olympic Malaysia, Wisma Ocm, Jalan Hang Jebat, City Centre, 50150 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50150 Kuala Lumpur,Kuala Lumpur,50150.0,https://my.findhotel.club/joytrip/?route=hotel&p=hotelolympicmalaysia,,,601111064888.0,,601111064888.0,4.5,5678.0,Unknown,OPERATIONAL,ChIJBZb2gBpJzDERLrLAMY1gUB0,3.1428197,101.7024261,Can't standardize operations across locations,2,,,Google Places API,Rating: 4.5/5 (5678 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJIfYL,2025-11-05,Village Park Restaurant,Restaurant,5,300000,"5, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,https://www.facebook.com/Village-Park-Restaurant-1639483826264341/,,,60122738438.0,,60122738438.0,4.3,12454.0,$$ (Moderate),OPERATIONAL,ChIJIfYLMzFJzDERPG9vHZ7DqiE,3.1376947,101.6233261,Can't standardize operations across locations,2,,,Google Places API,Rating: 4.3/5 (12454 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJi7WD,2025-11-05,Hameediyah Restaurant,Restaurant,5,300000,"164 A, Lebuh Campbell, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,https://www.facebook.com/HAMEEDIYAHRESTAURANTSDNBHD1025046U,,,6042611095.0,,6042611095.0,4.1,7029.0,$$ (Moderate),OPERATIONAL,ChIJi7WDMJfDSjARcGDxELYEhsA,5.41864,100.3325087,Can't standardize operations across locations,2,,,Google Places API,Rating: 4.1/5 (7029 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJZWOh,2025-11-05,Murni Discovery SS2,Restaurant,5,300000,"53, Jalan SS2/75, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",47300 Petaling Jaya,Selangor,47300.0,https://www.murnidiscovery.com/,,,60125299601.0,,60125299601.0,4.0,6150.0,$$ (Moderate),OPERATIONAL,ChIJZWOhd1FJzDER6_Zv4ILg6TI,3.1201929,101.622244,Can't standardize operations across locations,2,,,Google Places API,Rating: 4/5 (6150 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJX6Cx,2025-11-05,Lemon Garden,Restaurant,2,400000,"Shangri La Hotel, 11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,https://www.shangri-la.com/kualalumpur/shangrila/dining/restaurants/lemon-garden-cafe/,,,60327862378.0,,60327862378.0,4.4,3936.0,$$$ (Expensive),OPERATIONAL,ChIJX6CxcipIzDERNfmpcz2-Lak,3.1541747,101.7061458,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.4/5 (3936 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJ6dM0,2025-11-05,Lala Chong Kayu Ara Seafood Restaurant,Restaurant,2,200000,"Lot 13556, Jalan Cempaka, Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,13556.0,https://www.facebook.com/lalachongseafoodrestaurant/,,,60377281906.0,,60377281906.0,4.1,2791.0,$$ (Moderate),CLOSED_TEMPORARILY,ChIJ6dM0E7ROzDERB7-DH7rgs4o,3.1241573,101.6078519,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (2791 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJlT3Z,2025-11-05,Suffolk House Restaurant,Restaurant,1,300000,"C864+845, 250, Jalan Air Itam, 10460 George Town, Pulau Pinang, Malaysia",10460 George Town,,10460.0,http://suffolkhouse.com.my/,,,6042283930.0,,6042283930.0,4.5,1599.0,$$$ (Expensive),OPERATIONAL,ChIJlT3ZVrXDSjARFDdgGR46CAk,5.4108509,100.3054987,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.5/5 (1599 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJCRRm,2025-11-05,Antipodean @ Mid Valley,"Cafe, Restaurant",2,400000,"GE-011(A), Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.antipodeancoffee.com/,,,60322023411.0,,60322023411.0,4.7,4889.0,$$$ (Expensive),OPERATIONAL,ChIJCRRmv45JzDER2KmXCru4euc,3.1181332,101.6769047,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.7/5 (4889 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJdwGk,2025-11-05,Contango,Restaurant,1,300000,"5, Jalan Sultan Hishamuddin, Tasik Perdana, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000.0,,,,60327858000.0,,60327858000.0,4.2,1443.0,$$$ (Expensive),OPERATIONAL,ChIJdwGkrMVJzDERRnnqPQvQkbo,3.1383609,101.6916438,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (1443 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
"Growth System - RM 5,997/mo","Save RM 35-50k/mo, 35-45% reduction",GOOGLE-ChIJ-0H2,2025-11-05,The Ganga Cafe • Bangsar,Restaurant,2,200000,"19, Lorong Kurau, Taman Bangsar Pertama, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://www.theganga.com.my/,,,60322842119.0,,60322842119.0,4.4,2397.0,$$ (Moderate),OPERATIONAL,ChIJ-0H2IZtJzDEROu7FdjD33FY,3.1226394,101.6710239,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.4/5 (2397 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
