Priority,Action,Suggested Approach,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
1,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJWbnY,2025-11-05,Mohd Chan Restaurant @ Kelana Jaya,Restaurant,2,200000,"B-G-06 & 07, Jalan SS 6/20, Dataran Glomac,, Pusat Bandar Kelana Jaya,, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,http://www.mohdchan.com.my/,,,60378809099.0,,60378809099.0,4.6,4110.0,$$ (Moderate),OPERATIONAL,ChIJWbnYvhBMzDERiBBj6cm0xew,3.102279,101.599843,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.6/5 (4110 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
2,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ8Q3Z,2025-11-05,Kopenhagen Coffee Mont Kiara,"Cafe, Restaurant",1,150000,"Shoplot 7, Vista Kiara, 6 7, Jln Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,https://shop.kopenhagencoffee.com/,,,60362116363.0,,60362116363.0,4.3,1133.0,$$ (Moderate),OPERATIONAL,ChIJ8Q3Z4-1IzDERlapELLxcaAQ,3.1665326,101.648993,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (1133 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
3,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJfVNo,2025-11-05,Yin's Sourdough Bakery and Cafe (Penang),"Cafe, Meal Takeaway, Store",1,150000,"11, Pesara Claimant, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.yinssourdough.com/,,,601124195118.0,,601124195118.0,4.5,1223.0,$$ (Moderate),OPERATIONAL,ChIJfVNotmDqSjARtuLsqSZglbY,5.416808000000001,100.334885,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1223 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
4,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJqUkR,2025-11-05,Oriental Pavilion,Restaurant,2,400000,"P1-04, Level 1, Podium, PJ33, 3, Jalan Professor Khoo Kay Kim, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",46200 Petaling Jaya,Selangor,46200.0,https://www.orientalrestaurants.com.my/,,,60379569288.0,,60379569288.0,4.1,2063.0,$$$ (Expensive),OPERATIONAL,ChIJqUkRYeBLzDERJL42fbNm2lQ,3.1105666,101.637539,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (2063 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
5,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJLdfE,2025-11-05,Unique Seafood PJ23 (23 奇怪海鲜酒家),Restaurant,2,400000,"LOT 9B-3, Jalan Kemajuan 12/18, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",46200 Petaling Jaya,Selangor,46200.0,http://unique-seafood.com.my/Restaurants-PJ23,,,60172123619.0,,60172123619.0,4.1,3453.0,$$$ (Expensive),OPERATIONAL,ChIJLdfEumFJzDERUYVijPj8ACw,3.11442,101.64227,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (3453 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
6,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJqRdD,2025-11-05,Euro Deli,Restaurant,1,150000,"No. 39 & 41, Jalan SS 20/11, Damansara Kim, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,http://www.eurodeli.com.my/,,,60183727019.0,,60183727019.0,4.2,1317.0,$$ (Moderate),OPERATIONAL,ChIJqRdDhzdJzDERZTcW_5SEnI4,3.1345389,101.62702,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1317 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
7,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJixTd,2025-11-05,Little Heritage House,Restaurant,1,300000,"23, Jalan 17/56, Seksyen 17, 46400 Petaling Jaya, Selangor, Malaysia",46400 Petaling Jaya,Selangor,46400.0,https://littleheritagehouse.com.my/,,,60379321810.0,,60379321810.0,4.5,1124.0,$$$ (Expensive),OPERATIONAL,ChIJixTdFkJJzDERKbrMw3BgJYg,3.126507,101.6379966,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.5/5 (1124 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
8,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJDWIQ,2025-11-05,Sanuki Udon,Restaurant,1,75000,"1st floor, 25A, Jalan Bukit Desa 5, Taman Bukit Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",58100 Kuala Lumpur,Kuala Lumpur,58100.0,https://facebook.com/isetankl/posts/2516002545127879,,,60379803704.0,,60379803704.0,4.1,1051.0,$ (Budget),OPERATIONAL,ChIJDWIQkh9KzDERGkkargwydAA,3.1106643,101.6853507,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (1051 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
9,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJMVIf,2025-11-05,Nando's @ Mid Valley Megamall,Restaurant,2,200000,"LG-053, Mid Valley City, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",58000 Kuala Lumpur,Kuala Lumpur,58000.0,http://www.nandos.com.my/,,,60389662534.0,,60389662534.0,4.3,2555.0,$$ (Moderate),OPERATIONAL,ChIJMVIfIYxJzDEReMhWooJDMcA,3.1164064,101.676712,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (2555 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
10,CONTACT TODAY,WhatsApp + Personal,GOOGLE-ChIJ-0H2,2025-11-05,The Ganga Cafe • Bangsar,Restaurant,2,200000,"19, Lorong Kurau, Taman Bangsar Pertama, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://www.theganga.com.my/,,,60322842119.0,,60322842119.0,4.4,2397.0,$$ (Moderate),OPERATIONAL,ChIJ-0H2IZtJzDEROu7FdjD33FY,3.1226394,101.6710239,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.4/5 (2397 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
